text,type
"""กูสั่งให้พวกมึง (วชิราลงกรณ์กับเมียๆ) ออกนอกประเทศ ไปอยู่เยอรมนีเลย""   ",เกี่ยวข้อง
ไอ้ภูมิพลหน้าเหี้ย หน้าหี หัวควย ชาติหมา ปรสิต สัตว์นรก วชิราลงกรณ์ก็ด้วย ตระกูลเหี้ยมาเกิด   ,เกี่ยวข้อง
วชิราลงกรณ์ ไม่เซ็นแต่งตั้งให้ถ้าได้ นายกฯ ที่ไม่ถูกใจตัวเอง ,เกี่ยวข้อง
"กราฟแผ่นดินไหว ช่วง 24 ชั่วโมงที่ผ่านมา บันทึกจากสถานี เขื่อนวชิราลงกรณ์ ของสำนักเฝ้าระวังฯ กรมอุตุฯ December 05, 2021 at 06:46AM ",ไม่เกี่ยวข้อง
""" วังวชิราลงกรณ์คอมเพล็กซ์ "" ที่หงอกเจียมเอาไปอ้างอิงหลอกสามกีบ คนไทยที่ฉลาดจะไปพรุ่งนี้ ในวันพ่อ เพราะที่นี่หงอกโกหก หงอกรู้ไหมว่า ที่นี่คือที่คนไทยจะได้ใช้ และนึกถึงบุญคุณของพ่อ คนที่มีปัญหากับการชังชาติ ไม่อาจเข้าใจได้หรอก สิ่งที่ทำได้คือก็แค่คนไรชาติ ไร้บ้านเท่านั้นจริงๆ ",เกี่ยวข้อง
ฉิบหาย บริหารประเทศแบบฉิบหาย เข้าใจว่าเป็นหน้าหมา เอ้ย ฉากบังหน้าให้วชิราลงกรณ์แต่อิตู่ไม่ได้ฉลาดเกมการเมืองเลย ยิ่งอยู่ยิ่งฉิบหายและทำให้คนตั้งคำถามกับสถาบันยิ่งขึ้นไปอีก อีตู่ฉิบหาย ,เกี่ยวข้อง
ภูมิพล ก็ตายไปแล้วจะมารู้สึกอะไร ดีไม่ดีโดน วชิราลงกรณ์ สะกดวิญญาณเอาไว้อยู่ที่สนามหลวงซะด้วยซ้ำ ( ถ้าความเชื่อในเรื่องพวกนี้มันเป็นจริง ) ,เกี่ยวข้อง
บอก วชิราลงกรณ์ ใช่มั้ย ? ,ไม่เกี่ยวข้อง
กษัตริย์วชิราลงกรณ์กับเมียและฝูงหมารับใช้ เหมาบินฟรีเครื่องบินการบินไทย TG970 ไปรับเมียอีกคนกลับบ้าน  ไปๆมาๆ เหมือนอยู่หน้าปากซอยเลย  ได้แต่สวดภาวนา สาธุขอให้เครื่องตกตายห่ายกลำทีเถอะ คนไทยจะได้มีความสุขสักที!   ,เกี่ยวข้อง
ไม่แปลกใจวชิราลงกรณ์และครอบครัวให้ความสนใจกับคุกเป็นพิเศษ คุกไทยคือแดนสนธยา เป็นสถานที่ที่สามารถใช้อำนาจได้โดยไม่ถูกตรวจสอบ ,เกี่ยวข้อง
ความพยายามบิดเบือนประวัติศาสตร์ของฝ่ายคลั่งเจ้า — คือการที่วชิราลงกรณ์ไปคุยกับกลุ่มฆาตกรบอกให้ “ยิ้มแย้ม” และ “กลับไปนอนให้สบาย” หลังการฆาตกรรม  นี่มันเป็นอะไรที่น่าขนลุกมาก   ,เกี่ยวข้อง
"กราฟแผ่นดินไหว ช่วง 24 ชั่วโมงที่ผ่านมา บันทึกจากสถานี เขื่อนวชิราลงกรณ์ ของสำนักเฝ้าระวังฯ กรมอุตุฯ December 04, 2021 at 06:46AM ",ไม่เกี่ยวข้อง
 วชิราลงกรณ์ครับ,ไม่เกี่ยวข้อง
ค่าต้อนรับวชิราลงกรณ์มาเยอรมันเป็นการส่วนตัว สิ้นเปลืองภาษีประชาชนไปเกือบ 39 ล้านบาท แบบนี้ไม่เรียกว่าปล้น แล้วจะเรียกว่าอะไร?  ,เกี่ยวข้อง
สงสัยต้องเอารูปกษัตริย์ออกทั้งประเทศแล้วล่ะ - อันที่จริง วชิราลงกรณ์ไม่สนใจการโฆษณาชวนเชื่อมอมเมาให้คนรักเหมือนยุคภูมิพลแต่จะใช้กำลังกดขี่ประชาชนแบบนี้ไปเรื่อยๆ ซึ่งจะทำให้สถาบันกษัตริย์พังเร็วขึ้นและประชาชนจะเริ่มมองระบอบทางเลือกใหม่อย่างสาธารณรัฐไทย   ,เกี่ยวข้อง
2/2 พูดถึงการแทรกแซงทางการเมืองของกษัตริย์ที่สนับสนุนรัฐบาลทหาร-มาตรา 112 ที่โหดร้ายป่าเถื่อน-ฮาเร็มของวชิราลงกรณ์ สั่งจำคุกก้อย และพยายามฟ้อง Facebook เรื่องวิดีโอที่ใส่เสื้อ crop top ในมิวนิค,เกี่ยวข้อง
1/2 วชิราลงกรณ์ดังอีกแล้ว บล็อกเกอร์ชื่อดังอิตาลีทำสารคดีเกี่ยวกับประเทศไทยและสถาบันกษัตริย์ความยาว 18 นาที ชื่อสารคดี ‘คลิปนี้อาจทำให้ผมถูกจำคุก 195 ปีในไทย’ โดยเขา-เปรียบเทียบไทยว่าเหมือนเกาหลีเหนือ เพราะตอนที่ภูมิพลตาย คนที่ไม่ใส่เสื้อดำ หรือแสดงความเศร้าใจถูกทำร้ายร่างกาย ,เกี่ยวข้อง
สมรสเพื่อเน้นสืบพันพันธุ์ =วชิราลงกรณ์ + ชะนีสิริวชิราภักดิ์กูว่าทำไมเย็ดไม่ยั้ง ขนาดไม่ได้แต่งกับทุกตัว  ,เกี่ยวข้อง
"กราฟแผ่นดินไหว ช่วง 24 ชั่วโมงที่ผ่านมา บันทึกจากสถานี เขื่อนวชิราลงกรณ์ ของสำนักเฝ้าระวังฯ กรมอุตุฯ December 03, 2021 at 06:46AM ",ไม่เกี่ยวข้อง
พึ่งรู้ไว้นา กะเพราหมูกล่องละ 20-30 ถูกๆนั้นอะ หรือหมูกะทะราคาต่อหัวถูกๆ จนน่าตกใจ เป็นเนื้อหมูตาย หมูป่วยผสมซะส่วนมาก จากใจคนที่มีญาติทำเล้าหมู ตอนนี้เล้าไหนยังมีส่งออกจากฟาร์มคือจะเป็นหมูไม่ติดโรคหรืออาจจะติดโรคน้อย ที่เป็นโรคคือล้มหมด ราคาเลยแพงขึ้น หมูแพง,เกี่ยวข้อง
หมูแพง  หมูในตลาดน้อย  หมูตายด้วยโรคอหิวาต์แอฟริกา ที่ไม่มีวัคซีนและยารักษาโรคนี้มีทั่ว SEA แล้ว ทุกประเทศแจ้งหมด ตั้งนาน แม้แต่พม่า แต่รัฐบาลไทยเลือกที่จะปกปิด เพราะกลัวส่งออกไม่ได้  ราคาเป็นเรื่องของอุปสงค์อุปทาน แต่การจัดการคืองานของรัฐบาลนะ,เกี่ยวข้อง
สรุปโรคระบาดในหมูมันปิดข่าวกันป่าวอะแม่ทัพใหญ่อย่างผมไม่รู้สนตีนไรเลยสั่งการอะไรลงไปทอดทอดไม่ถูกเลยเห็นแต่ศพหมูตายเป็นเบือแต่ไม่รู้เป็นเชี้ยไรตายอย่าฉ้อราชบังหลวงอย่างกูดิเกิดไรขึ้นบอกกูด้วยเผื่อกูอยากยื่นมือเข้าไปเสือก,เกี่ยวข้อง
กำลังนั่งฟังเรื่องโรคระบาดหมูอยู่จากเรื่องเล่าเสาร์อาทิตย์ รัฐบาลแม่งเหี้ยสัสสส จนถึงตอนนี้มันก็ยังไม่ยอมรับว่ามีโรคระบาด เจ้าของฟาร์มหมูออกมาบอกก็ไม่ยอม ฮ่องกงตรวจเจอโรคจากหมูที่นำเข้าจากไทยก็ยังไม่ยอม แถว่าหมูแอบลักลอบนำเข้าเปล่า แม่งเหี้ยสัส ขอให้พวกมึงไม่ตายดี,เกี่ยวข้อง
เมื่อกี้ไปซื้อของ แม่งหงุดหงิดมาก ไอสัส กูอยู่บ้านตั้งแต่มันฝรั่งโลละ 30 อยู่ไปซักพักเค้าขึ้นมา 35 แล้วล่าสุดที่ไปซื้อคือโลละ 40 พ่อมึงตาย อีประยุทธ จันทร์โอชา หมูขึ้นไก่ขึ้น ก็โมโหมากพอแล้ว นี่มึงยังจะซ้ำเติมกันโดยการให้ผักขึ้นราคาอีกหรอ อีหน้าถไลหี,เกี่ยวข้อง
สรยุทธ์ ขยี้เรื่องหมูติกเชื้ออหิวา มาสองเบรคแล้ว อีกรมปศุสัตว์ไม่เคยยอมรับเลยว่ามีการแพร่ระบาด หมูติดเชื้อตายไป 40% แล้ว ,เกี่ยวข้อง
ปัญหาเนื้อหมู ขึ้นราคามันเป็นปัญหากับทุกๆด้านจริงๆนะ อย่าค่าแรงวันล่ะ 300 บาท ค่าข้าว มื้อละ 50 คนเรา กินข้าว วันละ 3 มื้อ เท่ากับวันละ 150 บาท มึงคิดว่า คนเราจะมึงเงินเก็บ หรืออดตายก่อนกัน,เกี่ยวข้อง
สรุปแล้ว ที่ หมูแพง เพราะเกิดจาก การระบาดอหิวาต์แอฟริกันในหมู จนหมูตายหมด ไม่มีวัคซีนป้องกัน ไม่มียารักษา แต่ภาครัฐไม่ได้เปิดเผยข้อเท็จจริง เรื่องเล่าเสาร์อาทิตย์,เกี่ยวข้อง
ระบาดจนเค้าต้องบอกให้ภาครัฐออกมาบอกความจริงได้แล้วอะ จะปิดข่าวไปไหน มาตรการไรก็ไม่มี ปล่อยจนประชาชนลำบาก จนเรื่องแดง บางฟาร์มหมูตายร้อยกว่าตัวจนเค้าต้องปิดฟาร์มอะ ประเทศอะไรวะเนี่ย,เกี่ยวข้อง
อธิบดีกรมปศุสัตว์เตรียมฆ่าตัวตายได้แล้วนะครับ ถ้าข้อมูลโรคอหิวาห์แอฟริกาหมูเป็นจริง,เกี่ยวข้อง
อธิบดีกรมปศุสัตว์เตรียมไปฆ่าตัวตายได้เลยนะครับ ถ้าปกปิดเรื่องโรคอหิวาห์แอฟริกาหมูเป็นจริง,เกี่ยวข้อง
อห เหนข่าวไต้หวันเจอเชื้ออหิวาต์ในกุนเชียงที่ส่งจากไทยแล้วได้แต่คิด หมูเปนโรคตายมาตั้งเปนปี นี่เราจะกินหมูเปนโรคไปบ้างป่ะเนี่ย เอาดีๆ,เกี่ยวข้อง
วอทกุงงแก้ปัญหาโดยเริ่มที่ตัวเอง เอาเซลส่วนไหนคิดวะ ทำไมไม่แก้ปัญหาที่ต้นเหตุที่มันเป็นโรคระบาดในหมูมาแก้ที่คนให้ไม่กินแล้วแบบนี้โรคมันก็ไม่หายดิ หมูก็ตายโดยที่คนเพิกเฉยนี่มึงได้บาปมากกว่าบุญอีกอีฟายนา,เกี่ยวข้อง
-เกิดโรคระบาดในหมู-ผลแล็บออกว่าเป็นโรคอหิวาต์แอฟริกา แต่ปศุสัตว์บอกหมูตายเพราะโรคเพิร์ส-ปิดข่าวแต่ยังควบคุมการระบาดไม่ได้-หมูล้มตายหายจากระบบ 10 ล้านกว่าตัว จาก 22 ล้านตัว คิดเป็นการสูญเสีย 40% กว่าๆ-หมูขาดตลาด &gt; ราคาหมูขึ้นประเด็นคือมันติดเชื้อและเริ่มทยอยตายมา 3 ปีแล้วอะ,เกี่ยวข้อง
โรคระบาดในหมู มีมา 3 ปี แต่ปีที่ผ่านามันหนัก จนหมูขาดตลาดเพราะตายยกฟาร์ม ส่วนร้าบาลนี้ทำไร อือ ไม่ได้ทำไรอะ ปกปิด ปล่อย ช่างแม่ง,เกี่ยวข้อง
ขนาดหมูป่วย ตายยกคอกรัฐบาลยังไม่ยอมรับเลยว่าเป็นโรคระบาด เฮงซวยว่ะ แม่ง 3 ปีแล้วนะ,เกี่ยวข้อง
แล้วปศุสัตว์ทำไมไม่แจ้งไม่บอกไม่วางมาตรการวะ ละม.เกษตรกำแพงแสนหงายจดหมายมาขนาดนี้ อยากจะทุบหลังว่ะ หมูตายยกฟาร์มขนาดนี้ ละดูผลกระทบตอนนี้ อิเวน,เกี่ยวข้อง
ตรรกะการแก้ปัญหาของสลิ่มคือช้างตายทั้งตัวเอาใบบัวมาปิดไปวันๆ แบบเห็นได้ในทุกเรื่องเลยอะ เบื่อชห. ทำไมมันไม่ช่างสงสัยให้ได้ซักครึ่งของยุคทักษิณวัคซีนที่ดีคือวัคซีนที่มีหมูแพงก็กินอย่างอื่นสิทางด่วนแพงก็วิ่งข้างล่างสิไม่พอใจประเทศนี้ก็ออกไปอยู่ที่อื่นสิฯลฯ ,เกี่ยวข้อง
ชั้นดูข่าวแล้วเห็นหมูนอนเล่นน้ำชิวๆในอ่างน้ำของฟาร์มเลี้ยงหมูแล้วแอบรู้สึกผิด เพราะนางมีความสุขโดยที่ไม่รู้เลยว่าสุดท้ายต้องตายและกลายมาเป็นอาหารคน ,ไม่เกี่ยวข้อง
  นั่นมาแบบนี้อีกแล้วตัวอะไรต่อมิอะไรมีตั้งเยอะแยะกุ้งหอยปูปลากบเขียดนกหนูแพะแกะวัวควายสารพัดสัตว์ที่กินได้บางที่กินหมาด้วยเลือกจิ้มเอาสักอย่างว่าจะกินตัวอะไรไม่ต้องตั้งหน้าตั้งตากินหมูอย่างเดียวเบื่อตายเลยไม่งั้นก็ถามเพื่อนมุสลิมดูว่าเธอกินอะไรเป็นอาหารเราจะกินบ้างง่ายๆ,ไม่เกี่ยวข้อง
สามชั้น โลละ 230 กูถามจริง ร้านหมูกระทะขึ้นราคาหมดแล้ว คนขายก็จะตาย คนกินก็จะตายด้วย ทีค่าแรงไม่คิดจะขึ้น นี่กูใช้ชีวิตอยู่ด้วยค่าครองชีพสวิสเซอร์แลนด์ แต่กายอยู่ไทยแลนด์แดนกะลา สุดดดด,เกี่ยวข้อง
ที่พุดเพราะพ่อนี่กินไม่ได้ เป็นโรคที่กินไม่ได้ แล้วยังไง ต้องซื้อหมูแพงหรอ ถ้าไม่มีตังไม่ต้องกิน ตายๆไปงี้หรอ ประเทศห่าอะไรวะเนี้ย,เกี่ยวข้อง
ต้นปี 64 หมูตายเพราะโรคระบาด ผู้ประกอบการรายย่อยถอนตัวกันเยอะ รายใหญ่ต้องรอหมูล็อตใหม่ที่ไม่เสี่ยง อุปสงค์เยอะขึ้น ราคาก็เลยแพงขึ้น ตามนั้น,เกี่ยวข้อง
 ตายยังไงให้เหมือนกระทะย่างหมู,ไม่เกี่ยวข้อง
"ทำไมหมูแพง…‼ส่วนหนึ่งของปัญหาหมูแพงมาจากโรคระบาด หลายคนคงนึกภาพไม่ออกกระทบกันแบบไหน มาอธิบายแบบง่ายๆสมมติ: ฟาร์มหมู ซื้อหมูมา 100ตัว ราคารวมบวกต้นทุนที่ต้องเลี้ยงจนขายได้ทั้งหมด 100,000บาท ตกเฉลี่ยต้นทุนตัวละ 1,000บาท แต่หมูดันมาติดโรค ตายไป 50% เหลือ หมู 50ตัว… ",เกี่ยวข้อง
พอรายย่อยตายหมด เจ้าสัวก็เข้ามากินรวบทั้งวงการแบบหมดจด หมูนายทุนจะถูกกว่าหมูเชือด ต่อด้วยใช้คอนเนคชั่นกับสภาผลักดันกฎหมายสร้างเงื่อนไขการทำฟาร์มหมู ฟาร์มไก่ ฯลฯ เตะตัดขารายย่อยเหมือนที่เบียร์คราฟต์โดน แล้วทีนี้มันก็จะผูกขาด absolute monopoly เพราะผู้บริโภคมีทางเลือกเดียว ดูออก ,เกี่ยวข้อง
 แล้วคนรอบตัวนี่ไม่รู้ด้วยทำไมหมูแพง ฉันเคยเตือนตั้งแต่ปีที่แล้วแล้วว่า.. ระวังนะหมูจะแพงบอกญาติไว้ตั้งแต่ช่วงน้ำท้วม เพราะรู้ก่อนหน้านั้นมีโรคระบาดแต่ก็เห็นมีข่าวแบบเหมือนไม่มีข่าวเงียบมาก ทางการปล่อยเบลอเพราะกลัวต้องเหยียวยาแล้วก็ปล่อยเบลอโรคระบาดในหมู ตอนน้ำท้วมหมูก็ตายอีก,เกี่ยวข้อง
รัฐบาลก็ไม่เห็นจะทำเหี้ยไรสักอย่าง เป็นไงหล่ะโรคนี้มันระบาดมานานละแต่ข่าวในไทยโคตรเงียบแถมยังบอกว่าไม่ใช่ ASF หมูตายกันเกลื่อน จนหมูมันขาดตลาดและราคาสูงขึ้น จนถึงทุกวันนี้มันยอมรับกันได้หรึยังว่าหมูเป็นASF มึงควรเห็นใจเกษตรกรหลายย่อยเน้ออ เค้าไม่ได้ทุนหนาเหมือนเหมือนฟาร์มใหญ่ ,เกี่ยวข้อง
น้ำมันขึ้น หมูขึ้น ตอนนี้แก๊สจะขึ้นอีก รายจ่ายในบ้านเพิ่มขึ้น รายได้เท่าเดิม ยุคข้าวยากหมากแพง ถามว่าทำไมไม่หาไรทำเสริม มันง่ายก็ดี ขนาดหลายบ.ยังตาย หนี้สาธารณะประเทศก็เพิ่ม แล้วคุณภาพชีวิตคนในประเทศเพิ่มขึ้นตามหนี้ไหม? ก็ไม่ โควิดระบาดโทษปชช. แต่บอกโควิดกระจอก ค,เกี่ยวข้อง
แดกไก่แทนหมูเหี้ยไรอีก มึงไปตายละให้ไก่จิกเนื้อมึงแดกเถอะไอพวกโง่ ตั้งแต่ให้เลี้ยงไก่บ้านละ2ตัวละ สัตว์ทุกตัวบนโลกฉลาดกว่ามึงอีก อีเหี้ยโง่,ไม่เกี่ยวข้อง
ผช.รมต.เกษตร มีใครเป็นอิสลามหรือเปล่า รู้สึกว่าการทำงานที่ผ่านมาส่อว่าเกลียดหมูมากเลย ทั้งเรื่องปล่อยน้ำท่วมหมูตาย ปล่อยให้หมูติดASF แล้วยังจะให้คนลดกินหมู หมูแพง,เกี่ยวข้อง
ฟังแม่แขกวิเคราะห์ หมูแพง คือกูแบบอิสัส กูมีชีวิตอยู่ในประเทศเฮงซวยกว่าที่คิด เกิดเป็นคนไทยไม่รวม ไม่ได้เป็นนายทุนใหญ่ ชนชั้นอีลีท คือตายกับตายแล้วก็ตายอย่างเดียว,เกี่ยวข้อง
 มึง กูอยากรู้ว่าเป็นไปได้ไหมที่ผู้บริโภคซื้อเนื้อหมูที่ติดโรคมาโดยไม่รู้ตัว (มันไม่ติดไปสู่คนอันนี้เข้าใจ) แบบพวกเคสที่เขาเอาเนื้อหมูตายไปขายงะ หรือเขาเอาหมูไปทิ้งเลย,ไม่เกี่ยวข้อง
ไปถามคนในกรมปศุสัตว์ สิคะ ว่าโรคระบาดในหมูนี่เป็นมากี่ปีแล้ว ปิดเก่ง จนตอนนี้จะตายกันหมดทั้งประเทศ,เกี่ยวข้อง
ควย กุไม่กินนะ ไก่แทนหมูไปตายเถอะ สารเร่งโตเยอะชิบหาย,ไม่เกี่ยวข้อง
คิดดูนะของทุกอย่างแพงหมดตอนนี้ ขึ้นราคาก็ไม่ได้ ทุกวันนี้แค่25 30ยังบ่นว่าแพงกันอะ แล้วมี3ร้านให้เลือกอีก แทบจะอยู่ไม่ได้แล้วจ้า หมูมาขึ้นราคา ต้นหอมก็แพง ตายๆตายกันเบิ้ด,เกี่ยวข้อง
รบ.ไทยมีไว้ผลาญเงินปชช.ไม่ได้มีไว้ช่วยเหลือปชช. เอาให้มันตายกันไปข้างนึงเลย พ่อค้าแม่ค้ารายย่อยจะตายกันหมดตั้งแต่ราคาเนื้อหมูขึ้นแล้ว พ่อค้าแม่ค้าคนกลางบางคนก็หัวหมอกินเต็มเบียดเบียนรายย่อยตัวเล็กตัวน้อย เฮงซวย! ประยุทธ์ออกไป ,เกี่ยวข้อง
 ถ้าคิดแบยบิลลี่ คนขายหมู เลี้ยงหมู คงต้องฆ่าตัวตาย อันที่จริงคือ รัฐบาล ต้องเร่งรีบแก้ไข ให้ราคาหมูกลับมาปรกติให้ได้เร็วที่สุด เพื่อช่วยเหลือ ผู้ผลิต และผู้ปริโภค ไม่ใช้ พอหมูแพงให้หยุดกิน หันไปกินอย่างอื่นแทน อ้าวว แล้วคนเลี้ยงหมู คนขายหมู เขาจะทำอย่างไร คะ,เกี่ยวข้อง
หมูตายไปครึ่งประเทศยังกล้ายืนยันว่าไทยไม่มี ASF อะคิดดู,เกี่ยวข้อง
ช่วงที่เริ่มระบาด คือระบาดไปพร้อมกับลัมปีสกินในวัวควาย มีเกษตรกรรายย่อยปรึกษาเข้าไปที่ปศุสัตว์อำเภอ ก็บอกแค่ว่าถ้าอยากได้เงินชดเชยให้เก็บชิ้นส่วนหมูที่ตายไปส่งตรวจ และให้รวมกลุ่มส่งเรื่องเข้าไป ,เกี่ยวข้อง
 เริ่มที่ตัวเองนะเพื่อนๆ หมูแพงก็แดกอย่างอื่น แมสก์แพงก็เอาเสื้อเอาผ้าอะไรก็ได้มาบังหน้าแทนไปก่อน น้ำมันแพงก็เดินเอาดิไม่ต้องขับรถ ค่าครองชีพแพงก็อยู่เฉยๆไม่ต้องใช้จ่ายง่ายจะตาย คนไทยทนเหี้ยอะไรได้ก็ทนไป แก้ที่ตัวเองอย่าไปรบกวนรัฐบาลส้นตีนนี้นะครับพวกเรา,เกี่ยวข้อง
พี่ที่รู้จักบอกว่าพ่อแกทำงานปศุสัตว์ และหมูเริ่มตายตั้งแต่กลางปีที่แล้ว ไม่คิดว่าจะระบาดหนักขนาดนี้ ,เกี่ยวข้อง
"ปิดข่าวมาได้งัยเป็นปี ไม่น่าเชื่อว่า ผู้บริหารประเทศไม่รู้ ? เปิดหลักฐายยืนยัน หมูตายด้วยโรค ""อหิวาต์แอฟริกาในสุกร"" - ขอบคุณสื่อที่เริ่มเจาะ  via  รัฐบาลเฮงซวย",เกี่ยวข้อง
3 เดือนก่อนเขื่อนไม่เก็บน้ำปล่อยให้ท่วมหลายจังหวัดหมูตาย เกษตรกรต้องรีบฆ่าหมูมีคนไปรับซื้อกิโลละ 10 บาท โรคระบาดไม่สนใจ มาตอนนี้หมูแพงมาก หลักฐานไม่ชัดว่าเป็นกลุ่มเดียวกันไหม สถานการณ์เหมือนตอนปาล์มถูกจนเกษตรกรโค่นปาล์มทิ้งเลย หมูแพง,เกี่ยวข้อง
กินต้มเลือดหมูระยองตั้งแต่สมัยที่ผญเป็นพนักงานเสิร์ฟแล้วผันตัวเป็นซ้อใหญ่ของร้าน อุ้มลูกมางงมาก ส่วนเจ้าของร้านก็ตายไปละทั้งตายายเลย แส้ว,ไม่เกี่ยวข้อง
 บางทีการแก้ปัญหาง่ายนิดเดียว ตอนปี 54 นี่สาเหตุมาจากการแก้ปัญหาที่ผิดวิธีนะจ๊ะ ตอนนี้หมูแพงเพราะหมูป่วยตายเยอะนะ ตามหลักอุปสงค์ อุปทาน,เกี่ยวข้อง
พอเรื่องทอนเงียบกริบ ยังหาอะไรฉอดไม่ได้ก็ฉอดเชื้อตายไปพลางๆกลบเกลื่อน ตอนนี้ได้เวลาย้ายไปหมูแพงละ,ไม่เกี่ยวข้อง
มันต้องมีสักเจ้าแหละที่รู้ว่าหมูป่วยตาย ก็ยังจะเอาเนื้อหมูมาขาย หมูแพง,ไม่เกี่ยวข้อง
เมื่อหมูตาย ทำให้ขาดทุน เกษตรกรรายเล็กรายย่อยจำนวนมากจึงไม่กล้าลงทุนเลี้ยงหมูรอบใหม่ เพราะกลัวว่าหมูจะตายทำให้ขาดทุนมากกว่าเดิม จึงยิ่งซ้ำเติมให้ปริมาณหมูในตลาดน้อยลงไปอีก,เกี่ยวข้อง
สาเหตุที่หมูแพงเพราะรัฐบาลปกปิดข้อมูลความจริงหมูในประเทศไทยติดโรค มีอาการป่วย และตายนั้น คนในอุตสาหกรรมเลี้ยงหมู และคนในวงการปศุสัตว์ทราบกันว่าเป็นโรค ‘อหิวาต์แอฟริกาในสุกร’ (African Swine Fever: ASF) ซึ่งเป็นโรคระบาดสัตว์ระดับรุนแรง ,เกี่ยวข้อง
"ปิดข่าวมาได้งัยเป็นปี ไม่น่าเชื่อว่า ผบห.ประเทศไม่รู้ ? เปิดหลักฐายยืนยัน หมูตายด้วยโรค ""อหิวาต์แอฟริกาในสุกร"" - ขอบคุณสื่อที่เริ่มเจาะ  via ",เกี่ยวข้อง
รัฐบาลปกปิดการระบาดของโรคไวรัสในหมู จน(แม่)หมูตายเกลื่อนพอหมูแพง แนะให้กินไก่ แล้วพอไก่แพง จะแนะให้กินเหี้ยไหม?,เกี่ยวข้อง
ก่อนที่ท่านจะสั่งการ อยากให้เช็คที่ต้นตอ และแก้จากต้นเหตุครับ ไม่ใช่สั่งจากปลายเหตุการกักตุน เกิดขึ้นที่รายใหญ่หรือไม่ ?ขายเกินราคา เกิดขึ้นที่คนกลางหรือไม่ ? (รายย่อยขายแพงก็ไม่มีใครซื้อ)ปศุสัตว์ปิดข่าวจนเกิดโรคระบาดหนักหมูตายหมดหรือไม่ ?หมูแพงผนงรจตกม ,เกี่ยวข้อง
สุมหัวคิด - ก่อนแก้หมูแพง ต้องยอมรับความจริงเรื่องสาเหตุหมูตายก่อน - Short Clip ,เกี่ยวข้อง
สุมหัวคิด - ก่อนแก้หมูแพง ต้องยอมรับความจริงเรื่องสาเหตุหมูตายก่อน  ผ่าน ,เกี่ยวข้อง
แม่ของเจ๊กเตี้ยหน้าหมูเคยห้าม อย่ารวยจากธุรกิจหมู เพราะกลัวบาป กลัวลูกหลานประสบเคราะห์กรรม แต่เจ๊กเตี้ยนอกจากไม่เชื่อฟัง ยังคิด ผูกขาด ตลาดหมู ทำบาปทั้งกับหมูและคน ตายไปก็ขนเงินติดตัวไปไม่ได้สักบาท กรรมตามทันตั้งแต่ชาตินี้ หน้าเปลี่ยนจนเหมือนหมูหมูแพง ข่าวด่วน ข่าววันนี้ ,ไม่เกี่ยวข้อง
 เพราะถ้ารัฐบาลเป็นคนสั่งให้กำจัดหมู รัฐอาจต้องชดเชยเกษตรกร ซึ่งรัฐไม่มีงบประมาณ แต่ถ้าหมูติดโรคตายเอง คนเลี้ยงหมูก็ซวยเอง,เกี่ยวข้อง
จริงๆหมูแพงจะโทษพาณิชย์อย่างเดียวก็ไม่ถูก ต้องโทษกรมปศุสัตว์ด้วย คุมโรคไม่อยู่จนหมูตายหมด ไม่ช่วยเหลือเกษตรกรรายเล็กๆเลิกเลี้ยงกันหมดแล้ว,เกี่ยวข้อง
คิดได้แค่นี้แหละสำหรับพวกเหี้ยๆอ่ะ แก้ปัญาตรงจุดมากมั้ง หมูแพงไม่หาทางรักษาช่วยเหลือฟาร์มอ่ะ ทุเรศ โรคมันมีมาเรื่อยๆแต่ไม่ประกาศปิดข่าวจนหมูตายไปครึ่งประเทศ สักพักไก่แพงคงไล่ให้ไปแดกหญ้ามั้ง ,เกี่ยวข้อง
แล้วเกษตรกรผู้เลี้ยงหมูจะทำยังไง? หมูตายก็ขาดทุนหนักอยู่แล้ว จึงต้องขึ้นราคา ไม่ใช่เพราะหวังกำไรเพิ่ม ถ้าขายไม่ออกก็ยิ่งเจ็บหนัก ขาดทุนล้มละลายกันทั้งประเทศ คนได้ประโยชน์คือ ทุนผูกขาด สายป่านยาว จะได้ผูกขาดตลาดหมูทั้งประเทศ ต่อไปจะขึ้นราคายังไงก็ได้หมูแพง ข่าวด่วน ข่าววันนี้ ,เกี่ยวข้อง
 แล้วเกษตรกรผู้เลี้ยงหมูจะทำยังไง? หมูตายก็ขาดทุนหนักอยู่แล้ว จึงต้องขึ้นราคา ไม่ใช่เพราะหวังกำไรเพิ่ม ถ้าขายไม่ออกก็ยิ่งเจ็บหนัก ขาดทุนล้มละลายกันทั้งประเทศ คนได้ประโยชน์คือ ทุนผูกขาด สายป่านยาว จะได้ผูกขาดตลาดหมูทั้งประเทศ ต่อไปจะขึ้นราคายังไงก็ได้หมูแพง ข่าวด่วน ข่าววันนี้,เกี่ยวข้อง
  สงสารหมู่หรือสงสารเจ้าของหมูเรื่องฆ่านั้นยังไงก็ต้องฆ่า ก็เราเลี้ยงไว้ฆ่า คงไม่มีใครเลี้ยงหมูจนแก่ตายไปเองหรอกมั๊ง,ไม่เกี่ยวข้อง
กูอยากกินหมู ทำไง แค่ทำราคามันถูกลงจะตายหรอ สามชั้นอันโอชะอ่ะรู้จักไหม แดกแต่ไก่ก็เบื่อตายพอดี แก้ปัญหาได้เท่าขนาดหำพวกมึงจริงๆ,เกี่ยวข้อง
